name,bio
4080,"The existence of this God and the Forgotten Laboratory are linked to the
technology developed at Ubi Concordia. In fact, he is the youngest God in
existence, and still knows practically nothing about Rodia or the world in
general. He is able to understand human emotions even if he does not feel
them, but it is difficult for him, so he often asks if he has made a mistake when
it comes to evaluating them. He is not hostile to outsiders, but he does not
understand why they seem to enjoy killing each other, as he does not see the
point of risking something so fleeting and fragile in that way for a few coins.
"
8004,"B004 is the only creature R080 has created. Its initial purpose was to help him
gather information about the world, but now that he has dealt with some
mortals, the God of Science is making a great effort to implement a
mechanism that allows B004 to understand the emotions of living beings at a
higher speed. His success is, at the moment, very questionable, since B004
tends to assume that everyone feels an uncontrollable emotional maelstrom all
the time and does not stop constantly asking the people it meets if they are
feeling okay.
"
Aaxer Apocalypse,"When Torun gave life to the first Giant, he showed it to Vulcanar, trying to
impress him. The God of Fire did not waste any time getting to work on his own
creations, completely disregarding Yseros's advice.

The Aaxer Apocalypse shakes its three heads unpredictably, fooling its
enemies into believing a peck is coming, but instead dealing a crushing blow
with the shell in the back of its neck.
"
Abacus Mimic,"Tired of his students using an abacus behind his back to solve exercises in
class, a math teacher decided to take desperate measures by contacting
someone versed in the art of magic. His salary, unfortunately, did not allow him
to hire the services of an expert, so he decided to search the underworld until
he found someone. After a long haggling session, a price was agreed upon,
and two weeks later that Mage handed the professor a box. He was satisfied,
and opened it in the middle of class with the intention of scaring his students,
saying 'This is what happens when you use an abacus too much, so be
caAAAAAARGH!' The Abacus turned out to be more aggressive and vastly
more dangerous than anticipated, and amid the laughter of his students, the
teacher ran out the door with the Abacus chasing behind him.
"
Abaddon Guard,"Taylor created the Torture Chamber to punish all criminals, no matter what
they had done. After his death, a law was enacted to close the facilities.
However, Tartarith then left the Torture Chamber and began killing the
inhabitants of the city, so its use was legalized again.

In the darkness, the Abaddon Guard's armor emits a powerful greenish glow,
and the white parts of its shield shine, giving the impression that a skull is
floating in the air.
"
Abomination Brute,"Abominations are a result of Tartarith's actions in the Torture Chamber. To
create them, he overfeeds an individual for weeks, and then implants a second
head on their shoulder.

The Abomination Brute is the only one of its kind that is prone to violence, as
well as the only one who is good at it. It lets its enemies get as close as
possible by holding back, then grabs them by the arms and rips them off with
its brutal strength.
"
Abomination Volatile,"Tartarith created the Abominations to protect the Torture Chamber, but he
eventually decided that it would be more fun to set them free and let them sow
chaos in Rodia. However, when they do not feel the presence of the God of
Punishment, most Abominations disobey his orders.

The Abomination Volatile despises violence, and it prefers to grab its enemies
and throw them far away so that they stop hurting it. Naturally, this has ended
many lives.
"
Abyss Banshee,"Banshees are mysterious creatures that are as old as the world. Their
silhouette can sometimes be seen in the dark of night, completely motionless,
as if waiting for something.

The Abyss Banshee is feared by all Magi, as its screams consume the magical
energy that is necessary to cast spells. Moreover, prolonged exposure to the
screams can break magic items, rendering them unusable.
"
Abyssal Kraken,"Krakens are grotesque, ruthless creatures who avoid approaching dry land at
all costs. Most of them live in the depths and do not poke their heads out of the
water very often, while the Abyssal Kraken never does. Other Krakens consider
it an absolute sovereign, and only under its command are they able to carry out
joint attacks. Although in ancient times their strategies overwhelmed the
Revenants, nowadays the Abyssal Kraken's main task is help as many
Krakens as possible to survive when one of their nests is discovered.
"
Abyssal Spectre,"During the Unification War, there was a dark lord who surpassed all others in
power and evil. Sigmund the Eternal managed to deceive Vertraag to learn the
secrets of time, then betrayed him. Or at least he thought he had when he rose
up in arms against those who only wanted peace.

Stillborn babies become Abyssal Spectres after they are buried, and they are
able to consume the life energy of those they touch.
"
