name,klass,charges,source,description
Absolute Corruption,Death,15,Ariamaki Shop,Target's buffs are converted to random debuffs.
Absolute Focus,Sorcery,10,Standard Spell (Backer),Target's next attack deals 100% more damage. This effect does not stack.
Abundance,Nature,12,Standard Spell,"Your creatures recover a small amount of Health and gain a small amount of Attack, Intelligence, Defense, and Speed."
Acid Bomb,Chaos,17,Standard Spell,"Target takes a small amount of damage, and its Bomb detonates."
Acid Breath,Chaos,14,False Gods (Hydranox),Target is afflicted with Poisoned and Burning.
Acid Rain,Chaos,5,4080 Shop,Enemies take a moderate amount of damage and lose a large amount of Defense.
Adrenaline Rush,Chaos,16,Venedon Shop,Caster Attacks random enemies 3 times. Each attack deals 15% normal damage.
Affliction,Chaos,17,Starter Spell,Enemies are afflicted with a random debuff.
Afterlife,Life,1,Avatar of Perdition,Your creatures' on-resurrect and on-death effects activate. This spell is an Ultimate spell.
Aftermath,Chaos,12,4080 Shop,Caster Attacks random enemeis once for each turn the caster has taken in the current battle. Maximum of 10 attacks.
Aggravate,Death,10,False Gods (Ancestor),Enemies with Cursed Attack the caster for 25% normal damage.
Amber Ale,Sorcery,10,Gambling Dwarves,Target Attacks a random enemy for 300% normal damage. This spell is a Booze Spell.
Ancient Prayer,Life,10,Yseros Shop,Your creatures gain copies of all the target's buffs.
Anger,Chaos,20,Genaros Shop,Target creature's Attack is set equal to its Intelligence.
Angry Orchard,Nature,2,Nature Guild,Enemies take a moderate amount of damage 4 times.
Annihilate,Death,7,Alexandria Shop,"Enemies take a small amount of damage, or a massive amount of damage if they are afflicted with a debuff."
Antidote,Nature,17,Starter Spell,"The duration of your creatures' debuffs is reduced by 1 turn, and they recover a small amount of Health for each debuff."
Apocalypse,Chaos,4,Standard Spell,All creatures take a massive amount of damage.
Arbitration,Chaos,2,Standard Spell (Backer),"Enemies' buffs are removed, and your creatures gain those buffs."
Arcane Enchantment,Sorcery,15,Zonte Shop,Target gains Warded and Protected.
Arcane Fallacy,Sorcery,5,False Gods (Mindwurm),Target Casts one of its multiple-target spells on its allies.
Archangel's Blessing,Life,11,Standard Spell (Backer),Your creatures recover 30% Health and gain a random buff.
Arid Alcohol,Sorcery,8,Gambling Dwarves,"Enemies are afflicted with a random debuff (minimum of 1, maximum of 3) for every 2 debuffs they have. This spell is a Booze Spell."
Ascension,Life,20,Shallan Shop,"Caster gains a random trait. This spell cannot be cast manually, but has a 50% chance to cast when the caster Defends or Provokes."
Atonement,Life,5,Lister Shop,Enemies lose a large amount of Speed and Defense.
Avalanche,Nature,1,Avatar of Torun,Enemies take a devastating amount of damage and are sent to the bottom of the Timeline. This spell is an Ultimate spell.
Awakened Nether Orbs,Chaos,1,Avatar of Caliban,One of the five Nether Orbs (chosen randomly) is awakened to cast a powerful spell. This spell is an Ultimate Spell.
Bangin' Bourbon,Chaos,7,Gambling Dwarves,"Deals a massive amount of damage to the target, then bounes to each of the target's allies at random. The damage is reduced by 20% for each bounce. This spell is a Booze Spell."
Banish,Sorcery,10,Standard Spell,Target's minions are removed.
Benediction,Life,4,Standard Spell,Your creatures recover a massive amount of Health.
Astral Dimension,Sorcery,15,Standard Spell,"Your creatures' Spell Gems are unsealed. This Spell Gem cannot be Sealed."
Black Ice,Sorcery,12,Standard Spell,"Each enemy has a 50% chance to be afflicted with Frozen, and each of your creatures have a 50% chance to gain Invisible."
Bladestorm,Chaos,7,Chaos Guild,"Enemies take a moderate amount of damage, plus 1% more damage for every 1% Health each enemy is missing."
Blank Slate,Sorcery,10,Standard Spell (Backer),All creatures lose access to the extra traits they gained during battle.
Blastar Punch,Chaos,8,Gonfurian Shop,Target takes a large amount of damage and is afflicted with Scorned.
Blastwave,Chaos,8,Standard Spell,"Enemies take a small amount of damage, or a massive amount if they are afflicted with Burning."
Blinding Beam,Sorcery,5,Standard Spell (Backer),Enemies take a large amount of damage and are afflicted with Blind.
Blindside,Sorcery,14,Aurum Shop,Target takes a small amount of damage. This damage ignores the target's Defense.
Blistering Radiance,Life,3,Shallan Shop,Enemies take a large amount of damage and are afflicted with Scorned.
Blood Burst,Death,5,Standard Spell,"Target takes a moderate amount of damage, plus 2% more damage for every 1% Health it has."
Blood Moon,Death,13,Death Guild,Target takes damage equal to 30% of the amount of damage it has taken in the current battle.
Blood Shield,Death,17,Standard Spell,Target takes a large amount of damage and gains 200% of the damage taken as a Barrier.
Blood Spray,Death,10,Standard Spell (Backer),"Enemies take a moderate amount of damage, plus 100% more damage for each time they've taken damage from Bleeding in the current battle."
Bloodwave,Death,1,Avatar of Mortem,Enemies take damage equal to 50% of the Maximum Health the caster gained in the current battle. This spell is an Ultimate spell.
Blow Mind,Chaos,10,Chaos Guild,"Enemies take a small amount of damage, plus 20% more damage for each time enemies have Cast a spell in the current battle."
Blur,Sorcery,10,Aeolian Shop,Your creatures gain a moderate amount of Speed.
Boiling Blood,Chaos,4,Standard Spell (Backer),Target takes a large amount of damage and the caster recovers a large amount of Health.
Bone Armor,Death,9,Standard Spell,Target gains a large amount of Defense and Speed.
Bone Offering,Death,10,Mortem Shop,"Target loses a large amount of Defense, and your creatures gain 20% of that amount."
Bone Spear,Death,13,Mortem Shop,"Target takes a moderate amount of damage. If the amount of damage exceeds 25% of the target's Maximum Health, all other enemies take a moderate amount of damage as well."
Boulder,Nature,5,Meraxis Shop,Target takes a massive amount of damage.
Brain Freeze,Sorcery,10,Azural Shop,Enemies' Spell Gems they've cast in the current battle are Sealed.
Breath of Life,Life,5,Standard Spell,"Target recovers a massive amount of Health, and is resurrected if it's dead."
Brethren,Nature,8,False Gods (Impington),Your other creatures that belong to the caster's race Attack a random enemy.
Brightwave,Sorcery,10,False Gods (Mindwurm),Target Casts all of its healing spells in your favor.
Butcher,Chaos,1,Avatar of Tartarith,"Target takes a devastating amount of damage. In addition, your creatures gain Attack, Intelligence, Defense and Speed equal to 30% of the damage dealt. This spell is an Ultimate spell."
Call Help,Nature,11,False Gods (Impington),Your creatures' minions gain 1 stack.
Camouflage,Nature,20,Standard Spell,Your creatures' classes are changed to match that of the caster's class.
Cannibalize,Death,18,Standard Spell,"Target takes a small amount of damage, or a devastating amount of damage if the target's class is the same as that of the caster."
Cauterize Wound,Chaos,10,Standard Spell (Backer),"Target recovers a small amount of Health, or a massive amount of Health if the target is afflicted with Burning."
Chain Lightning,Nature,7,Standard Spell,"Deals a large amount of damage ot the target, then bounces to each of the target's allies at random. The damage is reduced by 15% for each bounce."
Chaos Blades,Chaos,18,Chaos Guild,"Target takes a small amount of damage, plus 5% more damage for each time your creatures have Attacked in the current battle."
Chaos Bolt,Chaos,12,Standard Spell,Target takes a moderate amount of damage that ignores 50% of its Defense.
Chaos Channeling,Chaos,15,Standard Spell,Target is afflicted with 3 random debuffs.
Chaos Mastery,Chaos,10,Standard Spell,Your creatures gain a moderate amount of Attack and Savage.
Chaos Nexus,Chaos,7,Standard Spell,Enemies' classes are changed to match that of the target for the rest of the battle.
Chaos Orb,Chaos,3,False Gods (Caliban),Enemies take a large amount of damage and their buffs and minions are removed.
Chaos Reign,Chaos,20,Standard Spell (Backer),Caster Casts one of the target's Spell Gems.
Chaos Rift,Chaos,15,Standard Spell,Your creatures gain a random trait.
Chaos Spheres,Chaos,20,Standard Spell,Target's spell gems are Sealed for the rest of the battle.
Charm of Life,Life,5,Standard Spell,"Your creatures gain a moderate amount of Attack, Speed, and Maximum Health."
Chastise,Life,35,Starter Spell,Target takes a small amount of damage.
Cherub's Missile,Nature,5,Standard Spell (Backer),"Target is afflicted with Poisoned and Sleeping, and enemies adjacent to the target are afflicted with a random debuff."
Chrysalis,Nature,5,Standard Spell (Backer),Target gains a massive amount of Defense and is sent to the bottom of the Timeline.
Clawing Shadows,Death,12,Tenebris Shop,Target takes a moderate amount of damage. The damage is based on the caster's highest stat instead of Intelligence.
Clayman,Chaos,10,Venedon Shop,Target gains Maximum Health equal to its Current Health.
Clogged Pores,Death,7,False Gods (Loid),"Target is afflicted with Poisoned, Burning, and Bleeding."
Cloud Beam,Life,20,Standard Spell,"Random enemies take a small amount of damage continuously. After each enemy takes damage, the spell has a 20% chance to end."
Cloud of Embers,Chaos,10,Standard Spell,Enemies take a small amount of damage plus 10% for how low they are on the Timeline.
Colorwave (Chaos),Chaos,1,Spellweaver,"Target takes a devastating amount of damage, plus 50% more damage for each Chaos Infusion you have."
Colorwave (Death),Death,1,Spellweaver,"Enemies are afflicted with 3 random debuffs, plus 1 random debuff for each Death Infusion you have."
Colorwave (Life),Life,1,Spellweaver,"Your creatures gain 5 random buffs, plus 1 random buff for each Life Infusion you have."
Colorwave (Nature),Nature,1,Spellweaver,"Your creatures gain a large amount of stats, plus 50% more stats for each Nature Infusion you have."
Colorwave (Sorcery),Sorcery,1,Spellweaver,"Your creatures Cast one of their spells, plus 1 additional spell for each Sorcery Infusion you have."
