name,description,material_name
Frailty,"When this creature Attacks an enemy with Vulnerable, it deals 100% more damage, recovers Health equal to 100% of the damage dealt, and removes this debuff.",Bile Stitches
Flesh Rot,"After an enemy is afflicted with either Weak or Vulnerable, this creature afflicts them with whichever of these debuffs the target doesn't already have.",Brute Stitches
Extra Padding,"At the start of battle, this creature gains a Barrier that absorbs damage equal to 200% of its highest stat.",N/A
Wretchedness,Your creatures' attacks against enemy creatures with Vulnerable cannot be Dodged and have a 50% greater chance to deal critical damage. This trait does not stack.,Flesh Stitches
Manipulate Fear,Enemy creatures with Weak have 50% less Attack and cannot deal critical damage. This trait does not stack.,Gore Stitches
Turn to Gray,"After this creature is Attacked, enemies are afflicted with Vulnerable.",Ritual Stitches
Quell,"When this creature Attacks an enemy with Vulnerable, it deals 100% more damage. If this damage exceeds 35% of the target's Current Health, the target dies.",Volatile Stitches
Sin and Sentence,"After this creature Attacks an enemy with both Weak and Vulnerable, it has a 50% chance to kill the target.",Wandering Stitches
Master of Abominations,"If all the creatures in your party are Abominations, enemies always have Weak and Vulnerable, and take 50% more damage. This trait does not stack.",Sigil of the Abomination
Slosh,"After your creatures manually Cast a spell, a random enemy is afflicted with a random debuff. This trait does not stack.",Bottle of Grenale
Drinking Game,"At the start of each enemy's turn, they have a 5% chance to be killed. This trait does not stack.",Bottle of Lagergoyle
Alcoholism,"After an enemy is afflicted with a debuff, they have a 10% chance to be sent to the bottom of the Timeline. This trait does not stack.",Bottle of Ryetrap
Drunken Rage,"At the start of each enemy's turn, they have a 5% chance to attack one of their allies for each debuff they have. This trait does not stack.",Bottle of Scotchpion
Numbed Pain,"When your creatures would take damage from an attack or spell, they have a 5% chance to take 0 damage for each debuff they have. This trait does not stack.",Bottle of Spirits
False Epiphany,Enemies' spells cost 1 more Charge for every 2 debuffs they have. This trait does not stack.,Bottle of Vermowl
Bob and Weave,Your creatures have an independent 25% chance to dodge for each buff the enemy has. This trait does not stack.,Bottle of Vulperry
Hangover,"At the start of each enemy's turn, this creature has a 35% chance to Cast a random Booze Spell. This trait does not stack.",Bottle of Whiskull
Hangover Cure,"After your creatures heal an enemy, it has a 3% chance to be killed for each debuff it has. This trait does not stack.",Bottle of Winegel
Drunken Brawler,"After your creatures Dodge an attack, they counter-attack for 40% normal damage. This trait does not stack.",Bottle of Woodka
Master of Alementals,"At the start of battle, your Alementals gains 2 random Booze Spells for each Alemental fighting on your side. This trait does not stack.",Sigil of the Alemental
Incandescence,"At the start of battle, this creature gains Maximum Health equal to 100% of its Defense.",Amaranthine Splinters
Memento Mori,"After this creature is Attacked, the enemy takes damage equal to 75% of this creature's Defense.",Enclave Splinters
Soulstone Splinter,"After your creatures are Attacked, they gain 20% Defense. This trait does not stack.",Unguided Splinters
Collective Unconscious,"After your creatures gain Defense, they gain an equal amount of Attack. This trait does not stack.",Nexus Splinters
Jailbreak,Your creatures have 40% more Defense. This trait does not stack.,Planetary Splinters
Crystallization,"After this creature Casts a spell, your creatures gain 15% Defense.",Radiant Splinters
Solar Flare,"After this creature is Attacked while it is Defending or Provoking, it Casts Stellar Flare.",Solar Drink
Exalted Detriment,Your creatures deal additional damage with attacks equal to 30% of their Defense. This trait does not stack.,Stardust Splinters
Master of Amaranths,"At the start of battle, your Amaranths share 15% of their Defense with each other. This trait does not stack.",Sigil of the Amaranth
Multistrike,"Your creatures Attack 1 additional time, but all their attacks deal 30% less damage. This trait does not stack.",Attorney Cord
Multicast,"Your creatures Cast spells 1 additional time, but their spells are 30% less potent. This trait does not stack.",Chef Cord
Unrealized Potential,"After your creatures gain stats, they gain these stats an additional time, but they gain 50% fewer stats. This trait does not stack.",Horticulturist Cord
Unbidden Miracle,"After your creatures are healed, they are healed an additional time, but they receive 50% less healing from all sources. This trait does not stack.",Inspector Cord
Careful What You Wish For,"After your creatures gain a buff, they gain an additional random buff, but their buffs only last for 1 turn. This trait does not stack.",Prospector Cord
Grim Ailment,"After your creatures apply a debuff, they apply an additional random debuff, but their debuffs only last for 1 turn. This trait does not stack.",Vaccinator Cord
Master of Amphisbaena,"If all the creatures in your party are Amphisbaenas, their innate traits' repsective effects activate 1 additional time. This trait does not stack.",Sigil of the Amphisbaena
Hand of Light,This creature's attacks deal 75% more damage and grant this creature Shelled.,Aegis Claymore
Scourge,This creature's attacks deal 75% more damage and afflict the target with Weak.,Doomblight Claymore
Pyre,This creature's attacks deal 75% more damage and afflict the target with Burning.,Firewound Claymore
Stasis,This creature's attacks deal 75% more damage and afflict the target with Confused.,Goldblight Claymore
Rime,This creature's attacks deal 75% more damage and afflict the target with Frozen.,Icewound Claymore
Black Hole Halo,This creature's attacks deal 75% more damage and afflict the target with Scorned.,Imperial Claymore
Soul to Keep,"This creature's attacks deal 75% more damage. After this creature Attacks, it gains a copy of the target's trait.",Soulslayer Claymore
Storm of the Century,"After this creature Attacks, it Casts Lightning Storm.",Thunderwound Claymore
Final Act of Hatred,"When one of your creatures dies, each of their non-Ethereal Spell Gems has a 20% chance to be Cast.",Claymore of Hatred
Final Act of Judgement,"At the start of this creature's turn, it deals damage to enemies equal to 1% of their Current Health for every 0.5% of Health this creature is missing.
The damage cannot exceed 35% of each creatures' Current Health.",Claymore of Judgment
Final Act of Mercy,"At the start of this creature's turn, it kills all enemies that are below 25% Health.",Claymore of Mercy
Master of Angels,Your Angels' attacks apply all the debuffs that your other Angels' innate traits apply as well.,Sigil of the Angel
Brilliant Creation,"This creature has 15% more Attack and Intelligence for each dead creature on your side, and 15% more Defense and Speed for each living creature on your side.",N/A
Primed And Ready,"After an enemy Casts a spell on all your creatures, this creature Attacks it for 300% normal damage.",Adolescent Egg
Threshold,"After this creature Attacks, it afflicts the target with Scorned and Disarmed.",Charger Headdress
Vigilance,This creature intercepts attacks on its allies.,Defender Headdress
Long Live,This creature takes 2% less damage from attacks (up to 90%) for every 1% Health it is missing.,Endurer Headdress
Grit,"At the start of battle, this creature's Attack is added to its Health and Defense, then its Attack is set to its minimum value.",Guardian Headdress
Necessitarianism,"At the start of battle, this creature gains 100% Attack, Intelligence, Defense, and Speed. This creature deals 70% less damage.",Majesty Headdress
Righteous Concession,This creature and the creatures adjacent to it are resistant to debuffs.,Protector Headdress
